result in + 결과	결과가 되다
on behalf of~	~를 대신하여
regrettably	후회스럽게도
glowing	빛나는, 극찬하는
cabin	오두막집, 객실
anger	분노
lose one’s temper	화를 내다
scramble	빨리 움직이다
seal	봉인, 물개
follow suit	선례를 따르다
turn away	외면하다
fate	운명(부정적)
perish	죽다, 소멸하다
depress	우울하게 하다
against	~에 반대되는
critically	결정적으로, 비판적으로
look back	되돌아보다
tribal	종족의, 부족의
belonging	소속, 소유물(-s)
feel down	우울하다
the number of~	~의 수
a number of~	많은
wellness	건강, 능숙함
table	표
workings	작동방식
symbolic	상징적인
appoint	지명하다, 약속하다
limit	제한하다 / 한계; 제한하다
be willing to~	기꺼이 ~하다
be reluctant to~	~을 꺼리다
superior to~	~보다 우수한
inferior to~	~보다 열등한
a variety of~	다양한
engage in~	~에 참여하다
based on~	~에 근거하여
interact with~	~와 교류하다
privilege	특권, 특혜
negligence	태만, 방치, 과실
globalization	세계화
founder	설립자, 창립자
individualism	개인주의
account for~	차지하다, 설명하다
plateau	고원
geological	지질학의
dine	식사를 하다
interfere with~	~를 방해하다
motivator	동기요인 / 동기를 부여하는 것
inflexibility	확고부동, 유연성 부족
conditioning	훈련, 길들이기
cruelty	잔인함
petition	청원서
cosmetic	화장품
racial	인종의
lightening	가볍게 만들기
chances are (that)~	아마도
candidate	후보자, 지원자
applicable	적용되는
recruitment	채용
wholesome	무해한, 건강에 좋은
imitative	모방적인
keep~in check	~을 저지하다
newly	최근, 새로이
fierce	격렬한, 맹렬한
complain	불평하다
replace A with B	A를 B로 교체하다
faulty	고장 난, 결함이 있는
imperfect	고장 난, 결함이 있는
defective	고장 난, 결함이 있는
out of order	고장 난
dealer	판매인
dive	잠수하다
armpit	겨드랑이
forcibly	강제적으로, 강력하게
field of vision	시야
float around	(생각ㆍ소문) 떠돌다
hit	(특정수준에)이르다
reminder	생각나게 하는 것
get going	시작하다, 착수하다
put ~ into words	~을 글로 적다
put ~ into action	~을 실행하다
keep cool	침착함을 유지하다
fall for it	속아 넘어가다
make a remark	말을 하다
rise to the bait	미끼를 물다
sometime	언젠가
get away from	~에서 벗어나다
be left behind	뒤처지다
be yet to do	아직 ~하지 못하다
result from~+원인	~로 인해 생기다
result in +결과	~결과로 이어지다
long­term investment	장기 투자
native speaker	원어민
least	가장 적게
nursing	간호(학)
end one’s career	일을 그만두다
captain	대위
Army Nurse Corps	육군 간호 부대
Air Medal	항공 훈장
name A after B	B의 이름을 따서 붙이다
goodies	(상•경품 ) 좋은 것들
detail	세부 사항
storehouse	창고
in stock	재고로 있는
spiritual	정신의 / 영적인, 정신적인
processed food	가공식품
canned food	통조림 식품
food label	식품 (영양 성분) 라벨
in the moment	당장은
millionaire	백만장자
slide into	~로 빠져들다
latter	후자의, 뒷부분의
misstep	실수
be of the essence	가장 중요하다
apology	사과, 사죄
hear ~ out	~의 말을 끝까지 듣다
conscious	알고 있는, 의식하는
totally	완전히
let go	(걱정ㆍ근심)떨쳐 버리다
be worthwhile to do	~하는 것이 가치가 있다
heal	치유되다
normally	평상시처럼
business	사업체
get the word out	소문나게 하다
beauty product	미용 제품
gain in popularity	인기를 얻다
marketer	마케팅 담당자
target audience	목표 접속자
undivided	완전한
drop out of school	학교를 중퇴하다
make one’s day	~을 매우 기쁘게 하다
never A until B	B하고 나서야 A하다
comfort zone	안락 지대
force ~ to do	~가 …하게 하다
tend to do	~하는 경향이 있다
except to	~을 제외하고
in general	일반적으로
reach out to	~에게 관심을 내보이다
view A as B	A를 B라고 간주하다
count A as B	A를 B라고 간주하다
consider A as B	A를 B라고 간주하다
think of A as B	A를 B라고 간주하다
pity	불쌍히 여김, 동정 / 연민, 동정
bendable	구부러지는
inconvenient	불편한
cry out for	~을 얻고자 외치다
blessing	축복 / 승인, 허락; 축복
resting place	안식처, 무덤
be in a hurry	서두르다
absent­mindedly	멍하니
passing	흐름
that is	즉, 다시 말해서
refer to A as B	~을 …라고 부르다
serial	연속되는
newborn	갓 태어난
central	중심인, 중심의
honor	존경하다
devoted to	~에 전념하는
pay attention to 39	~에 주의를 기울이다
hard fact	명백한 사실
colorful	다채로운, 다양한
eye contact	시선의 마주침
traffic	(차량) 운행, 교통
noncooperative	비협조적인
inefficiently	비효율적으로
insist on -ing	~하는 것을 고집하다
hold on to~	고집하다, 집착하다
stick to ~	고집하다, 집착하다
adhere to ~	고집하다, 집착하다
surf	(인터넷을) 서핑하다
ironically	모순적이게도
be against	반대하다
productively	생산적으로
less­than­ideal	전혀 이상적이지 않은
repeatedly	반복적으로
educator	교육 전문가
be used to ~ing	~에 익숙한
accustomed to ~ing	~에 익숙한
academic performance	학업 성적
peel	깎다, 껍질을 벗기다
have a temper	욱하는 성질이 있다
put out	(불을) 끄다
lid	뚜껑
burn	불에 데다
dizzy	어질어질한
tightly	(쥐거나 안으며) 꼭
irresponsible	무책임한
request	요청하다
in regard to	~와 관련하여
with ~ in mind	~생각할 때
firm	회사; 단단한, 굳은 / 단단한, 센
lie on one's back 19	드러눕다(lie-lay-lain)
clearing	개간지, (숲 속의)빈터
for a little	잠시동안
for a minute	잠시동안
gentle breeze	미풍, 산들바람
push	내밀다
fragrance	향기
perfume	향기
wild flower	야생화
free from	~에서 벗어나다
daily	일상의
get to one's feet	일어서다
go on	가다, 계속하다
go away	사라지다
