lifetime	평생
investor	투자자
in a hurry	서둘러서
hastily	서둘러서
widen	넓히다
each other	서로
try to~	노력하다
try ~ing	시도하다
school fee	수업료
wrath	분노
feel easy	안심하다
make ~ public	공표하다
co-worker	동료
bank account	은행계좌
shuttle	왕복선
witness stand	증인석
precaution	예방
deciding	결정적인
mass transportation	대중교통
hand in	제출하다
apparel	의상
gift certificate	상품권
be hosted	개최되다
wrap	포장하다
gardening	원예
reap	수확하다
rib	갈비
lip	입술
save	저장하다
speak well(highly) of	칭찬하다
take away from	빼앗다
breast cancer	유방암
main entrance	정문
forgiving	관대한
bean	콩, 열매
get dressed in	~을 입다
purchaser	소비자
get hung up	매달리다
take notice	알아채다
linguist	언어학자
cell	세포
observations	관찰
pessimism	비관주의
triangle	삼각형
rectangle	직사각형
parachute	낙하산
ordeal	시련
board member	이사
make happen	실현하다
compulsion	충동
rude	무례한
overconfidence	과신
narrative structures	서술구조
Mediterranean	지중해의
acorn	도토리
spouse	배우자
quite a few	상당수
not a few	상당수
a good few	상당수
departmental	부서의
studious	학구적인
self-employment	자영업
not~anything but	#NAME?
sense of belonging	소속감
choir	합창단
put up	게시하다
lizard	도마뱀
tool	도구
cave	동굴
duty free	면세
hostess	여주인
geology	지질학
geometry	기하학
parking lot	주차장
slave	노예
cruel	잔인한
overeat	과식하다
oversleep	늦잠자다
cage	우리
herb	약초, 풀
lick	핥다
sake	이득
orders	지시
honestly	진심으로
hole	구멍, 틈
educative	교육적인
informing	교육적인
enlightening	교육적인
concept	개념
livestock industry	축산업
distribution industry	유통업
aquafarm	양식장
akin	비슷한
Pacific Ocean	태평양
Atlantic Ocean	대서양
Indian Ocean	인도양
Arctic Ocean	북극해
Antarctic Ocean	남극해
weekdays	주중
weekends	주말
blood donation	헌혈
weak point	약점
weaknesses	약점
vulnerable point	약점
for the first time	처음으로
wide-ranging	광범위한
switch off	끄다
cracked	금이 간
fractured	금이 간
junk	쓰레기
technician	기술자
surmount	극복하다
fellow worker	동료
worry	걱정
microscope	현미경
flea market	벼룩시장
student council	학생회
gymnasium	체육관
at a distance	멀리에
commoner	평민
follow	이해하다
troublesome	성가신
static electricity	정전기
weighted	치우친
selfish	이기적인
hairpin turn	급커브
slippery	미끄러운
compute	계산하다
voting	투표
civilian	민간인
astronomy	천문학
willful	제멋대로
weighty	중요한
rosy	유망한
bright	유망한
operating cost	운영비
imprinted	각인된
poet	시인
democracy	민주주의
goatherd	염소지기
monastery	수도원
alerting	각성의
touched	감동받은
stationery store	문구점
get into	~에 타다
cry out	외치다
ankle	발목
nail	못, 손톱 / 못
stair	계단
crosswalk	횡단보도
keep~in mind	기억하다
remain	남아있다
mission	임무
main	주요한
truthful	정직한
good intentions	선의
perspiration	땀, 노력 / 노력, 땀
rental shop	대여점
result	결과
printer	인쇄업자
put ~ down	~을 적다
note ~ down	~을 적다
in agreement with	~에 따라
what’s more	게다가
fairy tale	동화
on the edge of ~ seat	매료되어
play	희곡
apologize	사과하다
hallway	복도
think nothing of	경시하다
carriage	마차
automobile	자동차
natural	타고난
predators	포식자
mammals	포유류
antelope	영양
insect	곤충
insecticide	살충제
herbicide	제초제
royal household	왕가
ocean currents	해류
ultraviolet light	자외선
infrared light	적외선
occasions	때, 기회
lab (laboratory)	실험실
gain weight	살찌다
low-fat	저지방의
fortune-teller	점쟁이
salespeople	판매원
warfare	전투
psychologist	심리학자
transposition	치환
call in	부르다
manager	관리자
experiment	실험
blended	합성의
preserved	보존된
quietness	조용함
freshly	갓 ~한
ancestors	조상
bankruptcy	파산
rest home	요양소
shipment	배송
speak highly of	칭찬하다
