farm	경작하다
stepfather	의붓아버지
in-character	역할에 충실한
common ground	공통된 이해
planetary	지구의, 행성의
overlying	위에 쌓인
at that	그것도, 게다가
sparing	절제된, 인색한
take part	참여하다
resembling	비슷한, 유사한
be responsible for	~에 책임이 있다
doomed	운이 다한
deficient in	~이 결핍된
abound in	~이 풍부하다
excel at	~에 뛰어나다
be proficient in	~에 숙달되다
imminent	임박한
see A as B	A를 B로 간주하다
look upon A as B	A를 B로 대하다
factor into	~에 반영되다
be reflected in	~에 반영되다
on the order of	~와 비슷한, 대략 ~정도의
marketable	시장성 있는, 경쟁력 있는
reinvest	재투자하다
stellar	별의, 항성의
constellation	별자리
at the very least	아무리 적어도
understanding	이해, 파악
honorary	명예의, 명예직의
reduced	할인된, 줄어든
discounted	할인된
mailed-out	우편으로 발송된
error-free	오류가 없는
do double duty	이중 임무를 수행하다
pocketbook strain	금전적인 부담
financial burden	금전적인 부담
sensitive to	~에 민감한
responsive to	~에 반응하는, 민감한
deep pockets	풍부한 자금력, 많은 돈
underappreciated	과소평가되는
future-proof	미래를 견뎌 내는
prophet	예언자
make much of	~을 많이 중시하다
value highly	높이 평가하다, 중시하다
continuity	연속성, 지속성
impactful	영향력 있는
reroute	다른 곳으로 돌리다
turn around	돌아서다, 전환되다
creep up	서서히 올라가다
crawl up	서서히 기어가다
entrepreneurial	기업가의, 기업가적인
substitute A for B	B 대신 A를 쓰다
replace B with A	B를 A로 대체하다
exchange B for A	B를 A로 교환하다
be grounded on	~에 근거를 두다
group	분류하다
bouts of play	한 차례의 놀이
evolve into	~로 진화하다, 발달하다
brawn	근육, 신체적인 힘
physical strength	신체적 힘, 체력
time on one's hands	시간적 여유가 있는
detection	탐지, 발견
uncovering	발견, 폭로
psychological	심리적인, 정신적인
blunted	무뎌진, 둔화된
dulled	무뎌진, 둔화된
sympathize with	~와 공감하다
empathize with	~와 공감하다
disobey	거역하다, 위반하다
momentum	모멘텀, 추진력
impetus	추진력, 자극
prototype	시제품, 견본
race to	~하려고 애쓰다
fall dramatically	급락하다
stand to lose	잃게 될 처지에 놓이다
urgently	긴급하게, 급히
